Номер постамата|Дата ввода в эксплуатацию|Адрес постамата|Режим работы|Аренда|Точность|Широта|Долгота
PS5753|2021-02-20 00:00:00|Ставропольский край, Шпаковский район , село Сенгилеевское,улица Ленина, дом 1|ПН-ВС - выходной|НЕТ|89.54|45.19861998744244|42.03730000277855
PS5754|2021-02-20 00:00:00|край. Ставропольский,город Ставрополь, проспект . Юности,дом , 7, корпус, Г|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|88.46|45.06091998660048|41.93006998017898
PS5800|2021-02-20 00:00:00|Самарская область, Хворостянский район , село Хворостянка,улица Плясункова, дом 20|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|94.63|52.61530907144083|48.96509623117194
PS6021|2021-02-20 00:00:00|Тульская область, Узловский район ,город Узловая,улица Андреева, дом 10А|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ|99.17|53.98110998979823|38.17972000603552
PS6047|2021-02-20 00:00:00|Самарская область,город Отрадный,улица Первомайская, дом 30А|ПН-ПТ 08:00-18:00, СБ 08:00-14:30, ВС выходной|НЕТ|96.15|53.3768827017714|51.34942077424811
PS6020|2021-02-21 00:00:00|Тульская область, Богородицкий район ,город Богородицк,улица Луначарского, дом 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.26|53.77306000505251|38.13380997541071
PS6022|2021-02-21 00:00:00|Тульская область,город Тула, Советский район ,улица Оружейная, дом 26|ПН-ПТ 09:00-18:30, СБ 09:00-15:00, ВС выходной|НЕТ|86.67|54.16850998260477|37.5816999643956
PS3701|2021-02-24 00:00:00|Саратовская область, Романовский район ,рабочий поселок Романовка,улица Народная, дом 16|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.07|51.74988281581672|42.75582060180078
PS4195|2021-02-24 00:00:00|Курская область, Поныровский район , поселок Возы,улица Советская, влд 7|ПН выходной, ВТ-ЧТ 08:30-17:15, ПТ выходной, СБ 08:30-16:15, ВС выходной|НЕТ|98.5|52.18212998108106|36.28017002543442
PS4223|2021-02-24 00:00:00|Ивановская область, Гаврилово-Посадский район , село Осановец, дом 170|ПН-ВТ 08:30-14:45, СР выходной, ЧТ 08:30-14:45, ПТ-ВС выходной|НЕТ|97.24|56.56178000222974|39.98613002709399
PS4270|2021-02-24 00:00:00|Ивановская область, Родниковский район , село Парское,улица Светлая, дом 8|ПН-ВС - выходной|НЕТ|99.34|57.01085999468847|41.7124000013398
PS4513|2021-02-24 00:00:00|Кемеровская область - Кузбасс, Яшкинский район , пгт Яшкино,улица Куйбышева, зд 2Г|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|97.8|55.87155001511402|85.43577003545863
PS4881|2021-02-24 00:00:00|Республика Мордовия, Темниковский район ,город Темников,улица Гражданская, дом 2|ПН-ПТ 08:15-17:15, СБ-ВС выходной|НЕТ|99.26|54.62956000335029|43.20528996326274
PS4883|2021-02-24 00:00:00|Республика Мордовия, Теньгушевский район , село Теньгушево,улица Ленина, дом 68|ПН-ПТ 08:15-15:35, СБ-ВС выходной|НЕТ|99.39|54.76903998515058|42.72031002804653
PS5199|2021-02-24 00:00:00|Ульяновская область, Вешкаймский район , село Каргино,улица Советская, дом 47|ПН-ВС - выходной|НЕТ|93.13|54.07639876664697|47.03124321669594
PS5372|2021-02-24 00:00:00|Волгоградская область,город Урюпинск,улица Черняховского, дом 3|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.36|50.79586998130935|42.00500997808064
PS5723|2021-02-24 00:00:00|Новосибирская область, Татарский район , село Дмитриевка,улица Центральная, дом 14|ПН-СР 09:00-16:00, ЧТ выходной, ПТ 09:00-16:00, СБ-ВС выходной|НЕТ|99.42|55.16777998542776|75.60673001949058
PS5791|2021-02-24 00:00:00|Новосибирская область, Мошковский район ,рабочий поселок Мошково,улица Советская, дом 21|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.07|55.30342998230057|83.60825002361474
PS5909|2021-02-24 00:00:00|Самарская область, Волжский район , поселок Просвет, Зеленый пер, зд 3|ПН выходной, ВТ-СР 08:30-15:15, ЧТ выходной, ПТ 08:30-15:15, СБ-ВС выходной|НЕТ|88.9|53.01839000000007|50.49343000000005
PS5937|2021-02-24 00:00:00|Пермский край, Ильинский район ,город Чермоз,улица Ленина, дом 28|ПН-ПТ 08:45-17:30, СБ-ВС выходной|НЕТ|99.06|58.77915000020488|56.15478001355882
PS5938|2021-02-24 00:00:00|Пермский край, Ильинский район , поселок Ильинский,улица Ленина, дом 60|ПН-ВС 06:00-23:00|НЕТ|98.9|58.5655950204226|55.70246731346338
PS5950|2021-02-24 00:00:00|Пермский край,город Гремячинск,улица Ленина, дом 142|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.63|56.77316000000008|54.15571000000006
PS5984|2021-02-24 00:00:00|Саратовская область,город Аткарск,улица Советская, дом 115|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.0|51.87353998975527|44.99780999729307
PS5985|2021-02-24 00:00:00|Саратовская область, Татищевский район ,рабочий поселок Татищево,улица Красноармейская, дом 32|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.14|51.66672998185584|45.58947001844155
PS6054|2021-02-24 00:00:00|Пензенская область, Бековский район , село Сосновка,улица Вокзальная, дом 22|ПН выходной, ВТ-СР 08:00-14:30, ЧТ выходной, ПТ 08:00-14:15, СБ-ВС выходной|НЕТ|92.38|52.4642599804626|43.71392999948651
PS6089|2021-02-24 00:00:00|Ростовская область, Цимлянский район , станица Маркинская,улица 40 лет Победы, дом 21|ПН-ЧТ 08:00-13:45, ПТ 08:00-13:15, СБ-ВС выходной|НЕТ|83.43|47.63732998056213|42.06838999039883
PS1632|2021-02-25 00:00:00|Ленинградская область, Волховский район ,город Сясьстрой,улица Советская, дом 22|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.26|60.14087000868324|32.55882998581922
PS3253|2021-02-25 00:00:00|Ростовская область, Миллеровский район , село Ольховый Рог,улица Вокзальная, дом 9|ПН выходной, ВТ-ЧТ 08:00-14:30, ПТ-ВС выходной|НЕТ|91.18|48.92359999424013|40.38565997983594
PS3781|2021-02-25 00:00:00|г Москва,улица Соколово-Мещерская, дом 14|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.89602999198067|37.39024002914795
PS4055|2021-02-25 00:00:00|Смоленская область, Починковский район ,город Починок,улица Советская, дом 26|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.23|54.40763998050599|32.43448000980285
PS4364|2021-02-25 00:00:00|Пензенская область, Каменский район , село Междуречье,улица Молодежная, дом 16а|ПН 08:00-13:45, ВТ выходной, СР-ЧТ 08:00-13:45, ПТ-ВС выходной|НЕТ|91.52|53.18446375942997|43.98476939725509
PS4424|2021-02-25 00:00:00|Владимирская область, Селивановский район , поселок Новлянка,улица Молодежная, дом 13А|ПН 08:00-16:00, ВТ-СР выходной, ЧТ 08:00-16:00, ПТ-ВС выходной|НЕТ|98.96|55.80569000719379|41.73724002285732
PS5180|2021-02-25 00:00:00|Оренбургская область, Новосергиевский район , село Покровка,улица Кооперативная, дом 1|ПН выходной, ВТ-ПТ 08:30-16:00, СБ-ВС выходной|НЕТ|93.42|52.09592998591063|53.63632999995554
PS5452|2021-02-25 00:00:00|Псковская область, Плюсский район ,рабочий поселок Плюсса,улица Ленина, дом 4 корпус 1001|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|97.7|58.42208000292166|29.36433002788775
PS5453|2021-02-25 00:00:00|Псковская область, Пыталовский район ,город Пыталово,улица Шафранского, дом 9|ПН-ВС 06:00-23:59|НЕТ|99.23|57.06242001478674|27.92294996228208
PS5470|2021-02-25 00:00:00|Республика Башкортостан, Мелеузовский район , село Нордовка,улица Мира, зд 6|ПН выходной, ВТ 08:45-17:00, СР выходной, ЧТ-ПТ 08:45-17:00, СБ-ВС выходной|НЕТ|90.2|52.98651000623894|55.93630998206154
PS5620|2021-02-25 00:00:00|Кемеровская область - Кузбасс, Новокузнецкий район , село Костенково,улица Центральная, дом 1|ПН выходной, ВТ 09:30-14:45, СР выходной, ЧТ 09:30-14:45, ПТ-ВС выходной|НЕТ|99.48|53.63102999684915|86.81846998949464
PS5810|2021-02-25 00:00:00|Самарская область, Безенчукский район , село Екатериновка,улица Фрунзе, дом 80|ПН-ВС - выходной|НЕТ|99.38|53.08682998786068|49.45525003106113
PS5836|2021-02-25 00:00:00|Ростовская область, Красносулинский район , хутор Лихой,улица Ленина, дом 65Б|ПН выходной, ВТ-ПТ 08:30-15:15, СБ-ВС выходной|НЕТ|93.75|47.89936140809821|40.05385611911403
PS5982|2021-02-25 00:00:00|Саратовская область, Екатериновский район ,рабочий поселок Екатериновка,улица Кооперативная, дом 32|ПН-ПТ 08:00-16:45, СБ-ВС выходной|НЕТ|99.19|52.05420001039943|44.34647996180993
PS5997|2021-02-25 00:00:00|Архангельская область, Пинежский район , поселок Пинега,улица Первомайская, дом 55|ПН-ЧТ 08:30-16:45, ПТ 08:30-16:00, СБ-ВС выходной|НЕТ|100.0|64.69734998172956|43.39378002257729
PS6010|2021-02-25 00:00:00|Орловская область, Залегощенский район , село Моховое,улица Кооперативная, дом 1|ПН-ВС - выходной|НЕТ|99.4|52.94410376019917|36.57745028128032
PS6027|2021-02-25 00:00:00|Орловская область, Дмитровский район , село Столбище, зд 104|ПН 08:30-16:30, ВТ-СР выходной, ЧТ 08:30-16:30, ПТ-ВС выходной|НЕТ|90.8|52.58539000000007|35.28433000000007
PS6059|2021-02-25 00:00:00|Самарская область, Красноярский район , пгт Мирный,улица Комсомольская, дом 2|ПН-ПТ 08:00-17:00, СБ-ВС выходной|НЕТ|96.25|53.50192999630326|50.25437003479078
PS6063|2021-02-25 00:00:00|Волгоградская область, Клетский район , станица Кременская,улица Разведчиков, дом 11А|ПН-ПТ 09:00-14:00, СБ-ВС выходной|НЕТ|83.33|50.89647073549148|44.83434535120038
PS6073|2021-02-25 00:00:00|Рязанская область, Клепиковский район , село Криуша,улица Заводская, дом 8|ПН выходной, ВТ 09:00-13:30, СР-ЧТ выходной, ПТ 09:00-13:30, СБ-ВС выходной|НЕТ|99.34|54.9444500007408|39.96880999764838
PS6086|2021-02-25 00:00:00|Ростовская область, Пролетарский район ,город Пролетарск,улица Пионерская, зд 124А|ПН-ПТ 08:00-17:00, СБ-ВС выходной|НЕТ|98.01|46.69757999791651|41.72926003193913
PS6108|2021-02-25 00:00:00|Республика Коми,город Инта,улица Куратова, дом 70|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.12|66.03077000287863|60.09390997704767
PS3598|2021-02-26 00:00:00|Хабаровский край,город Хабаровск,улица Серышева, дом 42|ПН-ПТ 09:00-18:00, СБ 09:30-16:00, ВС выходной|НЕТ|95.74|48.48449999861629|135.0606999616421
PS3682|2021-02-26 00:00:00|г Москва,улица Большая Марфинская, дом 6|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.8320899847113|37.59272996224124
PS5221|2021-02-26 00:00:00|Московская область,город Одинцово, поселок Летний Отдых,улица Зеленая, дом 2|ПН-ВТ выходной, СР 08:45-16:30, ЧТ выходной, ПТ 08:45-16:30, СБ-ВС выходной|НЕТ|99.22|55.6410799900261|36.97226997323907
PS5436|2021-02-26 00:00:00|Воронежская область, Терновский район , село Козловка,улица Советская, дом 48|ПН-СР выходной, ЧТ-ПТ 09:30-15:00, СБ-ВС выходной|НЕТ|99.38|51.66152000038954|41.29305003271114
PS5445|2021-02-26 00:00:00|Московская область,город Видное,рабочий поселок Измайлово, дом 11|ПН-ЧТ выходной, ПТ 09:00-18:00, СБ-ВС выходной|НЕТ|90.33|55.56349194152541|37.64274832492514
PS5557|2021-02-26 00:00:00|Омская область, Оконешниковский район , село Золотая Нива,улица Садовая, дом 26|ПН выходной, ВТ-ПТ 09:15-16:45, СБ-ВС выходной|НЕТ|89.67|54.8342683637491|75.09301837395434
PS5842|2021-02-26 00:00:00|Ростовская область,город Шахты, Аллейный бульвар , дом 3|ПН выходной, ВТ-ПТ 08:00-16:15, СБ-ВС выходной|НЕТ|95.65|47.69696998768345|40.10122998622305
PS5843|2021-02-26 00:00:00|Ставропольский край, Петровский район , село Гофицкое,улица Ленина, дом 194|ПН выходной, ВТ-ПТ 09:00-16:30, СБ 09:00-16:15, ВС выходной|НЕТ|91.16|45.20628453363489|42.87409484662857
PS5849|2021-02-26 00:00:00|Ставропольский край, Александровский район , село Северное,улица Красная, дом 8|ПН выходной, ВТ-СР 08:00-17:15, ЧТ выходной, ПТ 08:00-17:15, СБ-ВС выходной|НЕТ|92.73|44.71638001255522|42.99092002352276
PS5865|2021-02-26 00:00:00|Архангельская область, Пинежский район , село Карпогоры,улица Федора Абрамова, дом 47|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.44|63.99953707880126|44.44264560125682
PS5877|2021-02-26 00:00:00|Псковская область, Струго-Красненский район ,рабочий поселок Струги Красные,улица Советская, дом 16|ПН-ВС 06:00-23:59|НЕТ|98.07|58.27024998813819|29.11182349521558
PS5952|2021-02-26 00:00:00|Пермский край,город Губаха,рабочий поселок Углеуральский,улица Чернигина, дом 3|ПН-ПТ 09:00-17:15, СБ-ВС выходной|НЕТ|98.24|58.93012002060661|57.57443996964696
PS5989|2021-02-26 00:00:00|Самарская область, Волжский район , поселок Черновский,улица Школьная, дом 13|ПН выходной, ВТ-ЧТ 08:15-15:45, ПТ 08:15-12:45, СБ-ВС выходной|НЕТ|93.75|53.48597001446689|50.04004996737467
PS5995|2021-02-26 00:00:00|Воронежская область, Терновский район , село Народное,улица К.Маркса, дом 17|ПН-ВС - выходной|НЕТ|99.35|51.57932591063713|41.80148285515012
PS5998|2021-02-26 00:00:00|Республика Карелия, Пудожский район ,город Пудож,улица Ленина, дом 72|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.12|61.80570000401033|36.52909997689031
PS5999|2021-02-26 00:00:00|Республика Карелия, Медвежьегорский район , пгт Пиндуши,улица Ленина, дом 8|ПН-ЧТ 09:00-17:45, ПТ 09:00-17:30, СБ-ВС выходной|НЕТ|100.0|62.91306998716345|34.5793399655164
PS6109|2021-02-26 00:00:00|Республика Коми, Прилузский район , село Ношуль,улица Советская, дом 29|ПН-ЧТ 08:45-16:15, ПТ 08:45-16:00, СБ-ВС выходной|НЕТ|99.31|60.15270001727748|49.50400001811983
PS6110|2021-02-26 00:00:00|Республика Коми, Прилузский район , село Объячево,улица Мира, дом 68|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.27|60.33186998699412|49.62092999816915
PS6114|2021-02-26 00:00:00|Республика Коми, Сысольский район , село Визинга,улица Советская, дом 36|ПН-ПТ 08:00-16:15, СБ-ВС выходной|НЕТ|99.32|61.07528000654432|50.08363997101952
PS6198|2021-02-26 00:00:00|Кировская область, Омутнинский район , пгт Восточный,улица Азина, дом 8А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|58.78658998701096|52.24921999138277
PS6003|2021-02-27 00:00:00|Республика Карелия,город Сортавала,улица Карельская, дом 13|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.08|61.70243001156601|30.68918001404461
PS6028|2021-02-27 00:00:00|Владимирская область, Петушинский район , поселок Городищи,улица Советская, дом 25|ПН выходной, ВТ-ПТ 09:00-17:00, СБ 08:30-14:00, ВС выходной|НЕТ|100.0|55.86620998842|39.08315002875548
PS6037|2021-02-27 00:00:00|Курская область,город Курск, Железнодорожный округ,улица Вишневая 1-я, зд 17|ПН-ВС 09:00-22:00|НЕТ|96.15|51.74602999433225|36.26057003450606
PS5441|2021-02-28 00:00:00|г Москва, Хорошёвское шоссе, дом 27|ПН-ПТ 10:00-21:00, СБ 10:00-17:30, ВС выходной|НЕТ|100.0|55.77706999880127|37.52388997819455
PS6002|2021-02-28 00:00:00|Республика Карелия, Питкярантский район ,город Питкяранта,улица Победы, дом 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.23|61.57133000510342|31.48075001848898
PS6125|2021-02-28 00:00:00|Республика Карелия,город Костомукша,улица Калевала, дом 14|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.0|64.58227998790437|30.60134001569884
PS6196|2021-02-28 00:00:00|Кировская область, Верхнекамский район ,город Кирс,улица Слободская, дом 16|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.21|59.33960000487957|52.23894998069804
PS6227|2021-02-28 00:00:00|Республика Башкортостан,город Уфа,улица Вологодская, дом 13|ПН-ПТ 09:00-18:30, СБ 10:00-15:00, ВС выходной|НЕТ|96.08|54.80975000877388|56.13075999362894
PS3436|2021-03-04 00:00:00|Приморский край, Хорольский район , село Хороль,улица Ленинская, дом 86А|ПН-ПТ 09:00-17:15, СБ-ВС выходной|НЕТ|99.32|44.41957792170088|132.0769506924002
PS3929|2021-03-04 00:00:00|Вологодская область, Вашкинский район , село Липин Бор,улица Смирнова, дом 8|ПН-ПТ 09:00-17:00, СБ-ВС выходной|НЕТ|99.35|60.26331000042302|37.96576002517983
PS4345|2021-03-04 00:00:00|Калужская область, Козельский район , село Березичский Стеклозавод,улица Куйбышева, дом 1|ПН выходной, ВТ 09:15-15:15, СР выходной, ЧТ 09:15-15:15, ПТ выходной, СБ 08:30-14:00, ВС выходной|НЕТ|86.5|53.96824000000004|35.82511000000005
PS4874|2021-03-04 00:00:00|Кемеровская область - Кузбасс, Ленинск-Кузнецкий район , село Красное,улица 40 лет Октября, дом 1|ПН-ВТ выходной, СР-ЧТ 09:00-17:00, ПТ 09:00-16:45, СБ-ВС выходной|НЕТ|99.49|54.60381818025292|85.39173557262
PS5365|2021-03-04 00:00:00|Краснодарский край, Усть-Лабинский район , станица Кирпильская,улица Школьная, дом 89|ПН выходной, ВТ-ЧТ 09:00-14:45, ПТ-ВС выходной|НЕТ|94.08|45.3778050026753|39.69478999250326
PS5612|2021-03-04 00:00:00|Новосибирская область, Краснозерский район , село Майское,улица Комсомольская, дом 21|ПН 09:00-16:30, ВТ-ПТ 09:30-17:00, СБ-ВС выходной|НЕТ|95.63|54.07642269684256|79.75534670215504
PS5618|2021-03-04 00:00:00|Новосибирская область, Краснозерский район , село Зубково,улица Центральная, дом 63|ПН-ЧТ 09:00-16:00, ПТ-ВС выходной|НЕТ|92.61|53.9843535445739|79.19366287477477
PS5699|2021-03-04 00:00:00|Тамбовская область, Моршанский район , село Серповое,улица Центральная, дом 94|ПН выходной, ВТ-ЧТ 08:30-15:15, ПТ-ВС выходной|НЕТ|98.28|53.61924155344509|41.8500158637405
PS5703|2021-03-04 00:00:00|Тамбовская область, Тамбовский район , село Горелое,улица Ленина, дом 47Б|ПН выходной, ВТ-ПТ 08:30-15:45, СБ 08:30-15:30, ВС выходной|НЕТ|99.33|52.9191799801398|41.49799997056741
PS5788|2021-03-04 00:00:00|Новосибирская область, Чулымский район , село Ужаниха,улица Гриценко, дом 12|ПН-ВТ 09:00-16:15, СР выходной, ЧТ 09:00-16:15, ПТ 08:30-15:45, СБ-ВС выходной|НЕТ|99.37|54.67252999761726|81.03091001558624
PS5925|2021-03-04 00:00:00|Ростовская область, Чертковский район , село Шептуховка,улица Центральная, дом 59|ПН-ВТ 08:30-15:00, СР выходной, ЧТ 08:30-15:00, ПТ-ВС выходной|НЕТ|83.59|49.29335000000003|40.34827000000007
PS6006|2021-03-04 00:00:00|Курская область, Дмитриевский район ,город Дмитриев,улица Ленина, дом 62|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.17|52.12784999149287|35.07882000649292
PS6019|2021-03-04 00:00:00|Тульская область,город Тула,улица Октябрьская, дом 97|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|54.23577000000006|37.51220000000006
PS6067|2021-03-04 00:00:00|Белгородская область, Белгородский район , пгт Разумное, проспект Ленина, дом 6А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|50.53086001916364|36.6888499989588
PS6121|2021-03-04 00:00:00|Мурманская область, Печенгский район , пгт Печенга, Печенгское шоссе, дом 4|ПН выходной, ВТ-ПТ 10:00-18:15, СБ 10:00-14:30, ВС выходной|НЕТ|99.51|69.5454600032165|31.21316002272681
PS6123|2021-03-04 00:00:00|Республика Карелия, Муезерский район , пгт Муезерский,улица Октябрьская, дом 33|ПН-ПТ 09:00-17:00, СБ-ВС выходной|НЕТ|100.0|63.96180000806311|32.00473002717118
PS6124|2021-03-04 00:00:00|Республика Карелия,город Костомукша, проспект Горняков, дом 6А|ПН-ПТ 09:45-18:00, СБ-ВС выходной|НЕТ|96.23|64.59144491736211|30.60387743951445
PS6151|2021-03-04 00:00:00|Самарская область, Сергиевский район , поселок Серноводск,улица Советская, дом 70А|ПН-ЧТ 08:15-16:15, ПТ 08:15-16:00, СБ-ВС выходной|НЕТ|100.0|53.91977242696087|51.25656140009112
PS6174|2021-03-04 00:00:00|Брянская область,город Брянск,улица Почтовая, дом 108|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ|95.56|53.34213999255661|34.31071002702728
PS6175|2021-03-04 00:00:00|Брянская область, Брянский район , деревня Добрунь,улица Молодежная, дом 1А|ПН выходной, ВТ 09:00-16:30, СР выходной, ЧТ 09:00-16:30, ПТ-ВС выходной|НЕТ|98.87|53.19091000742787|34.23826004110197
PS6209|2021-03-04 00:00:00|Республика Коми, Койгородский район , село Койгородок,улица Советская, дом 24|ПН-ПТ 08:15-16:30, СБ-ВС выходной|НЕТ|99.38|60.45006666040666|50.99426116799086
PS6210|2021-03-04 00:00:00|Республика Коми, Койгородский район , поселок Койдин,улица Набережная, дом 32|ПН выходной, ВТ-ПТ 08:45-18:00, СБ-ВС выходной|НЕТ|98.9|60.4361018447891|50.98339117267231
PS6212|2021-03-04 00:00:00|Республика Коми,город Сосногорск, пгт Нижний Одес,улица Школьная, дом 6|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.15|63.63975999580686|54.84727998024192
PS6216|2021-03-04 00:00:00|Республика Коми, Княжпогостский район ,город Емва,улица Дзержинского, дом 116А|ПН-ПТ 09:00-17:30, СБ 09:00-11:30, ВС выходной|НЕТ|99.24|62.59425000874057|50.87676004081814
PS6226|2021-03-04 00:00:00|Республика Башкортостан, Благовещенский район ,город Благовещенск,улица Коммунистическая, дом 15|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.4|55.029549996848|55.97404002955838
PS6239|2021-03-04 00:00:00|Челябинская область, Нязепетровский район ,город Нязепетровск,улица Свердлова, дом 7|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.31|56.05373001008002|59.59811001066029
PS6240|2021-03-04 00:00:00|Челябинская область, Саткинский район ,город Сатка,улица Пролетарская, дом 25|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.23|55.04161997933016|58.97568999741958
PS6248|2021-03-04 00:00:00|Челябинская область,город Озерск, поселок Новогорный,улица Октябрьская, дом 15А|ПН выходной, ВТ-ПТ 08:30-16:45, СБ 08:30-14:15, ВС выходной|НЕТ|99.26|55.62701000162727|60.78705003521733
PS6271|2021-03-04 00:00:00|Челябинская область, Еткульский район , село Белоусово,улица Октябрьская, дом 21|ПН выходной, ВТ-ЧТ 09:00-15:45, ПТ-ВС выходной|НЕТ|91.14|54.83178754659139|61.58656890492316
PS6298|2021-03-04 00:00:00|Алтайский край, Петропавловский район , село Камышенка,улица Советская, дом 121|ПН выходной, ВТ 09:00-17:00, СР выходной, ЧТ 09:00-17:00, ПТ-ВС выходной|НЕТ|98.29|52.00756845466295|84.38847298590686
PS6302|2021-03-04 00:00:00|Республика Алтай, Улаганский район , село Акташ,улица Мира, дом 20/1|ПН-ПТ 09:15-16:00, СБ-ВС выходной|НЕТ|99.07|50.31222000266993|87.60617995988866
PS6326|2021-03-04 00:00:00|Мурманская область, Ловозерский район , село Ловозеро,улица Советская, дом 10|ПН-ЧТ 10:00-18:00, ПТ 10:00-17:45, СБ-ВС выходной|НЕТ|98.28|68.0071235349267|35.0159890405583
PS6327|2021-03-04 00:00:00|Мурманская область, Ловозерский район , пгт Ревда,улица Победы, дом 27|ПН-ПТ 10:00-18:00, СБ-ВС выходной|НЕТ|100.0|67.94121000354235|34.55415997400607
PS6330|2021-03-04 00:00:00|Республика Карелия, Калевальский район , пгт Калевала,улица Ленина, дом 5|ПН-ПТ 09:00-16:30, СБ-ВС выходной|НЕТ|100.0|65.19659000690868|31.18142999298007
PS6331|2021-03-04 00:00:00|Республика Карелия, Лоухский район , пгт Пяозерский,улица Дружбы, дом 31|ПН-ЧТ 10:00-18:00, ПТ-ВС выходной|НЕТ|98.9|65.76490266823096|31.07210413943369
PS6332|2021-03-04 00:00:00|Республика Карелия, Кемский район ,город Кемь, Пролетарский проспект , дом 19|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.21|64.9550100206188|34.60712002339173
PS6336|2021-03-04 00:00:00|Архангельская область, Котласский район ,город Котлас,улица 70 лет Октября, дом 9|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|88.06|61.23868966291963|46.63725567649205
PS6370|2021-03-04 00:00:00|Республика Алтай, Майминский район , село Кызыл-Озек,улица Советская, дом 94|ПН-ВТ 09:00-16:15, СР выходной, ЧТ-ПТ 09:00-16:15, СБ-ВС выходной|НЕТ|99.35|51.89231997909599|85.9953599730485
PS6386|2021-03-04 00:00:00|Пермский край, Соликамский район , село Тохтуева,улица Дружбы, дом 2|ПН-ВТ 09:00-18:15, СР выходной, ЧТ-ПТ 09:00-18:15, СБ-ВС выходной|НЕТ|99.27|59.72516000723706|56.72333003800517
PS6397|2021-03-04 00:00:00|Мурманская область, Ковдорский район , нп Ёнский,улица Центральная, дом 1|ПН-ВТ 10:15-18:00, СР выходной, ЧТ-ПТ 10:15-18:00, СБ-ВС выходной|НЕТ|99.67|67.58167292538222|31.15455553979287
PS6408|2021-03-04 00:00:00|Белгородская область, Вейделевский район , село Малакеево,улица Мира, влд 17|ПН-ВТ 08:45-16:15, СР выходной, ЧТ-ПТ 08:45-16:15, СБ-ВС выходной|НЕТ|88.94|50.17045000110309|38.29076999718825
PS6449|2021-03-04 00:00:00|Республика Коми,город Воркута,улица Ленина, дом 60|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.24|67.50263999565627|64.065540015728
PS6451|2021-03-04 00:00:00|Республика Коми, Троицко-Печорский район , пгт Троицко-Печорск,улица Советская, дом 42|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|62.71017998583159|56.18643997059505
